indoor,outdoor,preferredHumidity,plantDescription,plantName,scientificName,plantType,flowering,averageLeafSize,plantFamily,plantLifespan,averagePlantWidth,preferredTemperature,preferredHumidity_inwords,waterSchedule,waterFrequency,waterQuantity
TRUE,FALSE,18-27%,The Peace Lily is a popular indoor plant known for its elegant white blooms and lush green leaves. It thrives in shaded areas and requires regular watering to keep the soil consistently moist.,Peace Lily,Spathiphyllum spp.,Foliage,TRUE,Medium,Araceae,Perennial,1-2 feet,18-24°C (65-75°F),High,Weekly,Once a week,Moderate
FALSE,TRUE,21-30%,Lavender is a fragrant herb with beautiful purple flowers. It prefers full sunlight and well-drained soil. Lavender is often used for its soothing aroma and medicinal properties.,Lavender,Lavandula spp.,Herb,TRUE,Small,Lamiaceae,Perennial,1-3 feet,21-27°C (70-80°F),Low to moderate,Bi-weekly,Once every two weeks,Light
TRUE,FALSE,16-26%,"Spider plants are easy-to-care-for indoor plants known for their air-purifying properties. They have long, arching leaves and produce small white flowers.",Spider Plant,Chlorophytum comosum,Foliage,TRUE,Medium,Asparagaceae,Perennial,1-2 feet,18-24°C (65-75°F),Moderate,Weekly,Once a week,Moderate
TRUE,FALSE,13-23%,"The Snake Plant, also known as Mother-in-law's Tongue, is a popular indoor plant with long, upright leaves. It's known for its ability to purify air and tolerate low light conditions.",Snake Plant,Sansevieria trifasciata,Foliage,TRUE,Medium,Asparagaceae,Perennial,1-2 feet,16-24°C (60-75°F),High,Bi-weekly,Once every two weeks,Moderate
FALSE,TRUE,18-35%,"Sunflowers are tall, annual plants with large, bright yellow flowers that follow the movement of the sun. They thrive in full sunlight and well-drained soil.",Sunflower,Helianthus annuus,Flowering,TRUE,Large,Asteraceae,Annual,1-3 feet,18-27°C (65-80°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,22-29%,"The ZZ Plant is a hardy indoor plant with glossy, dark green leaves. It's tolerant of low light conditions and infrequent watering, making it an ideal choice for beginners.",ZZ Plant,Zamioculcas zamiifolia,Foliage,TRUE,Medium,Araceae,Perennial,1-2 feet,18-24°C (65-75°F),Low to moderate,Bi-weekly,Once every two weeks,Light
TRUE,FALSE,17-32%,"The Rubber Plant is a popular indoor plant with large, glossy leaves. It requires bright, indirect light and regular watering to thrive.",Rubber Plant,Ficus elastica,Foliage,TRUE,Large,Moraceae,Perennial,1-3 feet,18-27°C (65-80°F),Moderate,Weekly,Once a week,Moderate
FALSE,TRUE,19-33%,Tomatoes are popular garden plants grown for their edible fruit. They require full sunlight and regular watering to produce a bountiful harvest.,Tomato,Solanum lycopersicum,Vegetable,TRUE,Medium,Solanaceae,Annual,1-3 feet,18-27°C (65-80°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,15-28%,"The Pothos plant, also known as Devil's Ivy, is a popular indoor plant with trailing vines and heart-shaped leaves. It's easy to care for and thrives in various light conditions.",Pothos,Epipremnum aureum,Foliage,TRUE,Medium,Araceae,Perennial,1-2 feet,18-24°C (65-75°F),Moderate,Weekly,Once a week,Moderate
FALSE,TRUE,12-31%,Marigolds are vibrant annual flowers that bloom in shades of yellow and orange. They prefer full sunlight and well-drained soil.,Marigold,Tagetes spp.,Flowering,TRUE,Small,Asteraceae,Annual,1-2 feet,18-27°C (65-80°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,23-34%,"The Aloe Vera plant is a succulent with thick, fleshy leaves that contain a gel-like substance with various medicinal properties. It prefers bright, indirect light and infrequent watering.",Aloe Vera,Aloe vera,Succulent,TRUE,Medium,Asphodelaceae,Perennial,1-2 feet,21-27°C (70-80°F),Moderate,Bi-weekly,Once every two weeks,Light
TRUE,FALSE,20-29%,"The Boston Fern is a classic indoor plant with graceful, arching fronds. It thrives in high humidity and indirect light.",Boston Fern,Nephrolepis exaltata,Foliage,TRUE,Large,Nephrolepidaceae,Perennial,1-3 feet,18-24°C (65-75°F),Moderate to high,Weekly,Once a week,Moderate
FALSE,TRUE,14-30%,Roses are beloved flowering plants known for their fragrant blooms. They prefer full sunlight and well-drained soil.,Rose,Rosa spp.,Flowering,TRUE,Medium,Rosaceae,Perennial,2-3 feet,18-27°C (65-80°F),Low to moderate,Weekly,Once a week,Moderate
TRUE,FALSE,11-24%,"The Bird of Paradise is an exotic indoor plant with large, banana-like leaves and colorful flowers. It requires bright, indirect light and high humidity to thrive.",Bird of Paradise,Strelitzia reginae,Foliage,TRUE,Large,Strelitziaceae,Perennial,2-4 feet,18-24°C (65-75°F),High,Weekly,Once a week,Moderate
